,description,id,created_on,status,project,author,subject,cliente
1848,Estou precisando emitir uma NF de devolução mas está dando divergência no valor do Icms poderia verificar por favor,8345,16/11/2020,Fechada,Suporte Técnico,Ana,Nota de devolução,VERITAS COMERCIO PRODUTOS MEDICOS HOSPITALARES
1849,"Ao gerar uma nota de amostra grátis, está apresentando a seguinte rejeição "" csosn incompatível na operação com não contribuinte""",9128,25/1/2021,Fechada,Suporte Técnico,Ana,Rejeição de NFE - Csosn Incompativel,PEGAZA COMERCIO DE PLASTICOS E ESPUMAS
1850,"Cliente esta utilizando agora o sistema, e quando foi implantado a base, não foi cadastrado o seu usuário, e não foi instruído o gestor a cadastrar os usuários",9127,25/1/2021,Fechada,Suporte Técnico,Ana,Cadastro novo usuario,SPACE MEDICAL DISTRIBUIDORA LTDA
1851,"Cliente entrou em contato solicitando ajuda para efetuar a recusa da nota.
",7851,8/10/2020,Fechada,Suporte Técnico,Elaine,Duvidas referente a recusa de nota,ORTONORTE ORTESE E PROTESE LTDA
1852,"Ao gerar o relatório de inventario, não está apresentado os itens",9129,25/1/2021,Fechada,Suporte Técnico,Ana,Auxilio Inventario,IMPLANEWS SURGICAL
1853,"Cliente entrou em contato reportando que esta tendo sérias dificuldades durante o dia pois não esta conseguindo fazer a impressão ou envio por e-mail de grande parte dos documentos fiscais emitidos, principalmente os NFC-e. Ao tentar fazer a impressão o sistema retorna uma mensagem de que não consegue encontrar o xml da nota, visto que o documento esta com status correto.
Pediu a gentileza de que possa ser feito um trabalho para colaborar com o acerto da rotina e assim voltar a normalidade pois tem diversos documentos pendentes para entregar aos clientes.",7830,6/10/2020,Fechada,Suporte Técnico,Cleverson,"Sem conseguir imprimir documento Fiscal - ""Não encontrado o xml da nota""",MATERCIC
1854,Atualização do certificado 2020-2021,8350,16/11/2020,Fechada,Suporte Técnico,Ana,Renovação Certificado,COPAVES - FRANGOS CANCAO
1855,Cliente estava com o certificado vencido,8348,16/11/2020,Fechada,Suporte Técnico,Ana,Certificado Vencido,OSMAR MOTORES
1856,Auxilio para cadastrar dois novos planos de contas,9539,23/2/2021,Fechada,Suporte Técnico,Ana,Cadastro de Plano de contas,SPACE MEDICAL DISTRIBUIDORA LTDA
1857,Ao emitir nota sistema apresentava mensagem de valor informado no campo outros difere do calculado,9541,24/2/2021,Fechada,Suporte Técnico,Elaine,Mensagem de erro na emissão da nota,DDN CONFECCOES
1858,Cliente gostaria de um auxilio para gerar o relatorio de entidades e salvar no pendrive,9538,23/2/2021,Fechada,Suporte Técnico,Ana,Relatorio de entidade,TREVO MATERIAIS HIDRAULICOS
1859,Cliente solicitou auxilio para duplicar nota,9543,24/2/2021,Fechada,Suporte Técnico,Elaine,Auxilio para duplicar a nota,DDN CONFECCOES
1860,Estou gerando uma nfe e apresentou erro de duplicidade,8564,30/11/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota,LEVI NÁUTICA
1861,"Implantar o.ss #7589,#7571,#7588",7844,8/10/2020,Fechada,Suporte Técnico,Andre,Versao V20.10.01,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
1862,"fiz uma nota esses dias e não saiu todas as informações, sabe me dizer o que aconteceu ",7864,8/10/2020,Fechada,Suporte Técnico,Ana,Nota de fiscal com divergencia,RMP ESTAMPARIA E METALURGICA
1863,"Menu - Cadastros - Entidades - Entidades

Cadastro um novo cliente - TESTE OBS NOTA
No Campo Comentários informo a seguinte frase - ABA COMENTARIOS e no campo Observações para Nota informo, ABA OBSERVAÇÕES DA NOTA e gravo.
!TelaEntidades.png!

Em modo Lista da tela de Entidades, seleciono o cliente que acabei de incluir e seleciono o relatório com os seguintes campos selecionados: Razão Social / Nome, Fantasia, Cidade e Obs. Nota
O sistema apresentou no campo OBSERVAÇÕES para NOTA o que foi inserido no campo Comentários.
!RelatorioEntidades.png!

OBS: O campo Comentário também está trocado, ele apresenta o que foi inserido no campo Observação para nota.

Base de teste: https://drive.google.com/file/d/1pxsWU2AEdVJn-tZq_tAp2AaqMFK2y_S6/view?usp=sharing
Usuario: Ana Senha 1
",8349,16/11/2020,Fechada,Suporte Técnico,Elaine,Erro na apresentação do campo OBS Nota.,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
1864,"Implantar o.ss #7468,#7815,#7748",7845,8/10/2020,Fechada,Suporte Técnico,Andre,Versao V20.10.01,MEDICA BRASIL
1865,Cliente ligou relatando que o sistema não estava imprimindo cupom fiscal,8858,30/12/2020,Fechada,Suporte Técnico,Elaine,Sistema não está imprimindo o cupom fiscal,PLANETA QUEIJO
1866,Nota com mensagem de duplicidade de evento,8354,17/11/2020,Fechada,Suporte Técnico,Elaine,Ajuda com a emissão da NF,PERFIL
1867,"Ao emitir a nota apresenta mensagem tempo de excedido.
",7867,8/10/2020,Fechada,Suporte Técnico,Elaine,Erro na emissão da Nota,PHARMATEX COMERCIAL DE PRODUTOS HOSPITALARES
1868,atualização do sistema,7866,8/10/2020,Fechada,Suporte Técnico,Ana,Atualização no sistema,BIOCRYSTAL
1869,Sistema está apresentando mensagem: Não é possível localizar o XMl,7865,8/10/2020,Fechada,Suporte Técnico,Elaine,Mensagem de erro para localizar XML,ESTAÇÃO CHOPP - MURILO
1870,Está apresentando a mensagem de Duplicidade da Chave de Acesso,8357,17/11/2020,Fechada,Suporte Técnico,Ana,Problemas na emissão de NFe.,OPTICALL
1871,Implantar o.s #7417,7881,9/10/2020,Fechada,Suporte Técnico,Rodrigo,Versao V20.10.01,PROFFIX COMERCIO DE EQUIPAMENTO MÉDICOS E HOSPITALARES LTDA
1872,"Inserir a mesma observação de nota que consta na empresa 1, na danfe da empresa 2",8355,17/11/2020,Fechada,Suporte Técnico,Ana,Ajuste Observação de nota,PEGAZA COMERCIO DE PLASTICOS E ESPUMAS
1873,alteração do executavel do masternfs com as alterações recentes,7878,9/10/2020,Fechada,Suporte Técnico,Ana,Ajuste de NFS,PERFORMANCE
1874,"Cliente estava com uma nota de ontem pendente, a qual no envio apresentava erro no de comunicação no NFE",7880,9/10/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota,FARMATEX DO BRASIL S/A
1875,"Preciso do relatório do vendedor Olavo, dos ultimos 6 meses inativos",8356,17/11/2020,Fechada,Suporte Técnico,Ana,Relatorio de clientes de um vendedor,J N COMERCIO DE ANTENAS LTDA.
1876,Estou com uma carta de correção e esta apresentando erro de DUPLICIDADE,7882,9/10/2020,Fechada,Suporte Técnico,Ana,Duplicidade CC-e,FORMASAT
1877,Nota com mensagem de I.E do destinatário invalida,8358,17/11/2020,Fechada,Suporte Técnico,Elaine,Auxilio com emissão da nota,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
1878,"Ajuste na apresentação do sistema ao utilizar duas telas

Cliente entrou em contato relatando que ao utilizar o sistema em Duas Telas, em algumas situações a tela fica metade na tela principal e metade na auxiliar
!DuasTelas.png!

Em contato com o Pedro do Faturamento, ele me passou os processos em que esse erro ocorre.
* No momento em que envia a Danfe por e-mail
* Na confirmação de algumas RMS ",8351,16/11/2020,Fechada,Suporte Técnico,Elaine,Ajuste na apresentação do sistema ao utilizar duas telas,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
1879,"Menu - Financeiros - Contas a Receber/Recebidas
Filtros: Contas - A Receber, Data a Considerar - Emissão, Data 01/01/2017 a 31/12/2017, Nota 57008, 'Campo Obs.Cob'
Ao realizar esse filtro no campo observações é apresentada as informações lançadas pelo cliente.

Menu - Financeiros - Contas a Receber/Recebidas
Filtros: Contas - Receber/Recebidas, Data a Considerar - Pagamento, Data 01/09/2020 a 08/10/2020 Nota 57008, 'Campo Obs. Cob.'
Nesse campo não são apresentadas das informações.

Base disponível em: https://drive.google.com/file/d/1TdnBuA0saS0KV4RiJrh6Ws31kZhdvqyY/view?usp=sharing",7876,8/10/2020,Fechada,Suporte Técnico,Elaine,Informações Campo Obs. Cob,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
1880,"Menu - Movimentações - Saída - Pedido de venda
Fat. Pendente - Período 09/10/2020 a 09/10/2020 - Nota 32720
Usuário: A Senha: 123

Ao efetuar o envio da nota para a receita o sistema apresenta mensagem que o total da soma do ICMS informado R$ 1161,25 difere do calculado R$ 1161,22.
Ao ajustar a diferença do ICMS apresenta diferença no valor do IPI.

Cliente solicita o ajuste no sistema de forma que calcule de acordo com o calculo ao emitir.

base de teste disponível em: https://drive.google.com/file/d/1SLujaYLG4epZ33QbWlRd1gv1dp9xIJNo/view?usp=sharing
vídeo com erro encaminhado pelo cliente: https://drive.google.com/file/d/16J2D__fOYXvPHwIG0S9CPu3XNZnvJ9R2/view",7879,9/10/2020,Fechada,Suporte Técnico,Elaine,ICMS informado difere do calculado ao emitir a NF,PROFFIX COMERCIO DE EQUIPAMENTO MÉDICOS E HOSPITALARES LTDA
1881,"Estou gerando uma nota e esta apresentando erro no cadastro da entidade, mas ja ajustei o cadastro ",7890,13/10/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota,TITANIUM
1882,"[12:59, 09/10/2020] Kirei - Jhony: Tarde Doc, por acaso tem alguma forma de aumentar o número de parcelas
[12:59, 09/10/2020] Kirei - Jhony: Ali só mostra até 12x. Pedido de venda em prazo de pagamento.
Repassado opções ao cliente onde poderia ser aberto uma solicitação para ampliar essa condição (precisaria de um e-mail para o suporte@mastercim.com.br) para ser analisado, ou outra opção seria, diretamente no financeiro no contas a receber fazer uma troca de títulos, lá permitira gerar quantas forem necessárias. Cliente vai usar a opção do financeiro. 
[13:07, 09/10/2020] Kirei - Jhony: Já vi ali
[13:07, 09/10/2020] Kirei - Jhony: Show",7886,9/10/2020,Fechada,Suporte Técnico,Cleverson,Parcelar em maior quantidade de prazo do que permite o cadastro,KIREI
1883,Campo Qtd estava contando o primeiro digito quando impresso nesse campo 4 caracteres,8567,1/12/2020,Fechada,Suporte Técnico,Elaine,Ajuste no layout,CASA DA OBRA
1884,Cliente solicita ajuda para emitir a carta de correção,8352,17/11/2020,Fechada,Suporte Técnico,Elaine,Duplicidade de Evento na carta de correção,BIOFIX
1885,"Estou enviando uma nota fiscal e esta apresentando a seguinte mensagem
"" existe inconsistência no cadastro! por favor corrija""
mas ja ajustei e continua apresentando",7885,9/10/2020,Fechada,Suporte Técnico,Ana,Erro de emissão de nota,RMP ESTAMPARIA E METALURGICA
1886,"Menu - Movimento - Ordens de serviços - Ordem de Serviço
Periodo 18/01/2021 a 18/03/2021 
Filtro - Finalizadas
Seleciono o Mov nº 3806 - CERAMICA NICHELE LTDA e clico em Faturar.
Seleciono a opção de Nota Fiscal Conjugada e confirmo

!OS.png!

É apresentada a tela de NF, na opção de Nota informo SN e clico em gravar. O sistema vai para a aba a de Financeiro, clico novamente em Confirmar.
O sistema apresenta a mensagem de erro violation of PRIMARY or UNIQUE KEY constraint ""INTEG_110"" on table ""MOVIMENTOD"" e na sequencia a mensagem de erro Falha na gravação dos dados!

!Erro.png!

!Erro2.png!

Base disponível em: https://drive.google.com/file/d/1cPm9MRMIw_ln_bYpJKgiAOgOMxnX9pmH/view?usp=sharing",9456,18/2/2021,Fechada,Suporte Técnico,Elaine,Mensagem de erro ao faturar a nota,RG LOCAÇÃO DE EMPILHADEIRAS LTDA
1887,Estava apresentando a mensagem para liberar acesso,7888,13/10/2020,Fechada,Suporte Técnico,Ana,Liberação de Acesso,PINHAO MOTO SERRAS
1888,Renovação Certificado 2021,8860,4/1/2021,Fechada,Suporte Técnico,Ana,Renovação Certificado,CL ORTOPEDIA
1889,"Cliente vai colocar o sistema em outra maquina, e gostaria de um treinamento presencial para lembrar as funções do sistema. Pois de acordo com ele. faz tempo que ele não utiliza

Contato: 3262-4397 ALDO",7883,9/10/2020,Fechada,Suporte Técnico,Ana,Treinamento,MERCADO BOITANICO
1890,"
Cliente está tentando emitir uma NF (Nota em anexo) é para outro estado e não está gerando DIFAL.

O cliente é do Distrito Federal, tem inscrição estadual porém não é contribuinte ICMS.

Segue posição da contabilidade do cliente: Cliente com Inscrição Estadual, porém não contribuinte do ICMS, o Difal é devido e deve constar na NF para recolhimento.

https://drive.google.com/file/d/1Dh31AUHFjPtd_qOpUhSAwFJ4tWWsWciq/view?usp=sharing",8549,27/11/2020,Fechada,Suporte Técnico,Elaine,Auxilio com emissão de nota com difal,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
1891,"Cliente vai ser o novo Gerente no lugar da Cristina, ele gostaria de um treinamento

Augusto - 41 9 8901-2634",8347,16/11/2020,Fechada,Suporte Técnico,Ana,Treinamento,LANCASTER PARTICIPAÇÕES E EMPREENDIMENTOS TURISTICOS LTDA
1892,Auxilio para cadastrar um produto novo,8565,30/11/2020,Fechada,Suporte Técnico,Ana,Auxilio cadastro de produto,MATERIAIS DE CONSTRUCAO AFONSO PENA
1893,"Cliente relatou que após a atualização do executável no Servidor/Bilheterias, o Replicador está apresentando log com erro.
O Sistema Servidor/Bilheteria foram atualizados na data do dia 17/11/2020 (Bilheteira versão 1.19C / Servidor versão V2.11)

!LogErro.png!

Log de erro: https://drive.google.com/file/d/1KI5awnlVTSiDYtraiDEWohiZWj3Vis_5/view?usp=sharing
Base Bilheteria: https://drive.google.com/file/d/1biMM0rvl-ejJUXxstdSmMIEdUiL3qbbb/view?usp=sharing
Base servidor: https://drive.google.com/file/d/1oKcpEw39pUolcJh6X68WT_p-f5rv4l1A/view?usp=sharing
",8423,19/11/2020,Fechada,Suporte Técnico,Elaine,Log de erro - Replicador,TRAVESSIA GUARATUBA
1894,Cliente nao estava conseguindo acessar o atalho em sua maquina,8568,1/12/2020,Fechada,Suporte Técnico,Ana,Ajuste de atalho,OSMAR MOTORES
1895,Auxilio cadastro de cfop,8566,30/11/2020,Fechada,Suporte Técnico,Ana,Auxilio cadastro de cfop,BLACK CHOPP BEBIDAS (CURITIBA)
1896,Cliente solicitou ajuda na configuração de e-mail dos usuarios,8570,1/12/2020,Fechada,Suporte Técnico,Elaine,Configurações de E-mail,CASA DA OBRA
1897,"Solicitação 
<pre>
Olá Ana .
Notei que ao importar o XML da NF 98593 , o NCM , REGISTRO DA ANVISA não importaram corretamente .
Outra situação , é que por se tratar de um material novo , quando estamos fazendo o processo de saída desse material o valor vem zerado .
Nesse caso arrumei manualmente NCM E REGISTRO e também coloquei o preço de venda , pois começamos a dar vazão nesse material .
Irei verificar os demais materiais que saem com valor zerado , pois pelo que percebi , são todos os itens novos do nosso portifólio .
Ana , essas informações NCM , REGISTRO DA ANVISA E PREÇO não teriam que vir automaticamente ?
Qualquer dúvida estou a disposição
</pre>

Base utilizada em: https://drive.google.com/drive/folders/1qfOsFifJyauvBD74uxqnoZuJiBGeQKe0?usp=sharing

teste realizado da seguinte forma.

Movimentação - entradas - entrada - importação de xml


no cadastro do produto retirei a informação de classificação que constava, fui na tela de entrada de mercadoria e realizei a importação do xml, após informa a cfop e ir na tela de vinculação dos produtos, marquei o checkbox de atualizar *""NCM, ORIGEM ICMS, ICMS, FORNECEDOR E COD. BARRAS""*  E dei um proximo, apos finalizar a entrada, fui no cadastro do item e o mesmo nao alterou nenhuma informação e nem atualizou o valor do produto.

",7887,9/10/2020,Fechada,Suporte Técnico,Ana,DIVERGÊNCIA IMPORTAÇÃO DA NOTA,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
1898,Na impressão do relatório no campo qtd está saindo com varios digitos após a virgula,8569,1/12/2020,Fechada,Suporte Técnico,Elaine,Layout Pequeno,CASA DA OBRA
1899,renovação do certificado da gds,8571,1/12/2020,Fechada,Suporte Técnico,Ana,Atualização de certificado,GDS - GESSO E DECORACOES
1900,estou tentando gerar o XML e está aparecendo isso,8576,1/12/2020,Fechada,Suporte Técnico,Ana,Enviar xml,IMPLANEWS - BETHA IMPLANTES
1901,Cliente não esta conseguindo a visualização dos imagens do produtos no layout,9145,26/1/2021,Fechada,Suporte Técnico,Elaine,Apresentação das imagens no layout ,RUSTFER MOVEIS
1902,Cliente estava com duvidas no processo de contas a receber recebidas,9502,22/2/2021,Fechada,Suporte Técnico,Elaine,Auxilio no contas a Receber /Recebidas ,DDN CONFECCOES
1903,"Ao tentar acessar a pasta, está apresentando a caixa para colocar a senha de rede",9146,26/1/2021,Fechada,Suporte Técnico,Ana,Ajuste de atalho,HIGI LUX PROTECT
1904,"ajustado o certificado
",8362,17/11/2020,Fechada,Suporte Técnico,Ana,Certificado Vencido,FORMASAT
1905,tenho uma nota fiscal que nao esta deixando imprimir poderia verificar ,8360,17/11/2020,Fechada,Suporte Técnico,Ana,Impressão de Nota fiscal,KN MAQUINAS
1906,Cliente gostaria que visualizar a frase A Vista na Danfe.,8361,17/11/2020,Fechada,Suporte Técnico,Elaine,Visualização da danfe,KAIZER FOTOGRAVAÇÃO LTDA - ME
1907,Ajuste de Layout de Orçamento de venda,8573,1/12/2020,Fechada,Suporte Técnico,Ana,Ajuste de Layout de Orçamento de venda,GDS - GESSO E DECORACOES
1908,ao tentar executar o sistema estava apresentando erro do windows,8574,1/12/2020,Fechada,Suporte Técnico,Ana,Sistema não esta abrindo,LINHACO
1909,"<pre>
Preciso gerar um relatório dos produtos com a quantidade hoje no sistema
</pre>
Ao gerar o relatório de tela de produtos, quando chega na pagina 55 ele fecha o sistema e nao finaliza o processo.

Cadastro - Produtos - Produtos - relatório personalizado

Ao gerar o relatório personalizado de tela com as seguinte informações:
° Código do produto
° Título (Descrição)
° Quantidade

Solicito o comando para gerar o mesmo via ibexpert
",8578,1/12/2020,Fechada,Suporte Técnico,Ana,Gerar rel. de produtos,MAGARI FASHION COMERCIO DE VESTUARIO LTDA
1910,"Sistema estava apresentando mensagem de erro emitir NF
",8579,1/12/2020,Fechada,Suporte Técnico,Elaine,Mensagem de erro na emissão da nota,RGM
1911,Auxilio para inativar um produto,8581,1/12/2020,Fechada,Suporte Técnico,Ana,Inativar produto,VERITAS COMERCIO PRODUTOS MEDICOS HOSPITALARES
1912,"Mensagem de erro ao emitir nfc
Falha no Schema XML do lote de NFe. org.xml.sax.SAXParseException; lineNumber: 1; columnNumber: 2138; cvc-pattern-valid: Value """" is not facet-valid with respect to pattern ""[0-9]{2}|[0-9]{8}"" for type ""#AnonType_NCMproddetinfNFeTNFe"".
",8580,1/12/2020,Fechada,Suporte Técnico,Elaine,Mensagem de erro na emissão da NFC,PLANETA QUEIJO
1913,liberação de acesso,8583,1/12/2020,Fechada,Suporte Técnico,Ana,Liberação de Acesso,CROMOS MAT. FOTOGRAFICO LTDA
1914,Não estou conseguindo imprimir direto do servidor,8585,1/12/2020,Fechada,Suporte Técnico,Ana,Duvida impressora,LANCASTER PARTICIPAÇÕES E EMPREENDIMENTOS TURISTICOS LTDA
1915,auxilio  para gera uma nota de devolução,8367,17/11/2020,Fechada,Suporte Técnico,Ana,auxilio  nota de devolução,LANCASTER PARTICIPAÇÕES E EMPREENDIMENTOS TURISTICOS LTDA
1916,Cliente deseja trocar o sistema de servidor,8408,18/11/2020,Fechada,Suporte Técnico,Elaine,Trocar sistema de servidor,PRIDE MEDICAL COM. DE INST. E MAT. MÉDICOS LTDA
1917,liberação de acesso,8410,19/11/2020,Fechada,Suporte Técnico,Ana,Liberação de Acesso,BIOTEC IMPLANTES SOLUÇÕES MÉDICAS
1918,"O cliente entrou em contato relatando erro na tela de Pedido de venda ao Confirmar o Financeiro.
Menu - Movimento - Pedido de venda
Ao incluir um pedido de venda ou tentar confirmar um financeiro de um pedido o sistema está apresentando mensagem de erro.

!Pedido.png!

O erro está ocorrendo em todos os pedidos.

OBS: Cliente já estava com a versão do site V21.01.01 quando o erro ocorreu.
Base disponível em: https://drive.google.com/file/d/18EoDxM_bUcSM5k3nlCTr00NDoOdy8kRn/view?usp=sharing",8920,6/1/2021,Fechada,Suporte Técnico,Elaine,Erro ao confirmar o financeiro na tela do pedido de venda,PHARMATEX COMERCIAL DE PRODUTOS HOSPITALARES
1919,Felipe entrou em contato comentando que a empresa 1 do seu banco de dados mudou de regime tributário para simples e gostaria de ajustar o sistema antes de voltar a emitir notas.,9147,26/1/2021,Fechada,Suporte Técnico,Cleverson,Mudar empresa para Simples Nacional,OSMAR MOTORES
1920,Cliente informou diferença na tela de entrada de mercadorias,8409,18/11/2020,Fechada,Suporte Técnico,Elaine,Rateio do frente na tela de Entrada de Mercadorias,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
1921,"
Cliente tem alguns produto como por exemplo o 286 - Costela bovina Grill, que não tem um peso fixo (4kg,6kg...) no cadastro, e ao informamos percentual para o fator de conversão, no rel. de placa ele não sai a quantidade correta que saíram pra cada placa.

Exemplo:
No dia 11/11 foram feitas algumas notas utilizando o produto 286- Costela Bovina, para a placa BCR3C98 ao todo saíram 8 caixas, e na placa AYT3888 saíram o total de 6 caixas neste dia, mas quando informamos o valor para conversão no relatório de carregamento o sistema considera o mesmo valor para as duas placas, não esta sendo feito o calculo por placa e sim um total geral das saídas do produto.

Verificar se existe a possibilidade de  quando o produto não estiver com o campo FATOR DE CONVERSÃO no cadastro do produto preenchido, na tela de nota fiscal o sistema permitir que o cliente informe manualmente na inclusão do item quantas caixas do produto saíram para a PLACA (vendedor) informada.",8400,18/11/2020,Fechada,Suporte Técnico,Ana,Relatorio de Carregamento por Placa,COPAVES - FRANGOS CANCAO
1922,Conectado com cliente para verificar mensagem de erro e nota que o cliente estava na versão 4.08 e na versãoa atua do sistema,8584,1/12/2020,Fechada,Suporte Técnico,Elaine,Atualização MasterNfe,IN VINO VERITAS
1923,O usuario de nivel 4 não acessa a tela de orçamento de venda pelo Ctrl + O,8577,1/12/2020,Fechada,Suporte Técnico,Elaine,Ctrl + O não apresenta tela para usuario nivel 4,CASA DA OBRA
1924,Usuaria Ana estava sem permissão a visualização dos demais usuarios,8575,1/12/2020,Fechada,Suporte Técnico,Elaine,Ajuste na permissão,CASA DA OBRA
1925,"Disponibilizado acesso por VPN para usuário Romildo, porem, foi disponibilizado acesso somente pelo ip do servidor e não pelo nome do servidor",8572,1/12/2020,Fechada,Suporte Técnico,Elaine,Erro ao acessar o sistema,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
1926,Reinstalação do Sistema,8582,1/12/2020,Fechada,Suporte Técnico,Ana,Reinstalação do Sistema,TITANIUM
1927,"Ao tentar enviar a nota apresenta que não houve resposta o nfe, mas o mesmo está aberto",9148,26/1/2021,Fechada,Suporte Técnico,Ana,NFE não esta enviando,DDN CONFECCOES
1928,Solicitada reinicialização do MasterNfe,9505,22/2/2021,Fechada,Suporte Técnico,Elaine,Reiniciar NFE,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
1929,Solicitada reinicialização do MasterNfe,9503,22/2/2021,Fechada,Suporte Técnico,Elaine,Reiniciar NFE,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
1930,Cliente tinha duvidas no cadastro dos prazos de pagamento em particular a venda a vista,9504,22/2/2021,Fechada,Suporte Técnico,Elaine,Duvidas no cadastro de Prazo de pagamento,DDN CONFECCOES
1931,Cliente precisa acessar de fora e a VPN só conecta pelo IP,8586,1/12/2020,Fechada,Suporte Técnico,Elaine,Ajuste no caminho da base,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
1932,"O Cliente precisa que seja disponibilizada a opção de bloqueio e liberação por nível do campo PRAZO DE PAGAMENTO.

Menu - Cadastro - Entidades - Prazo de pagamento
Menu - Movimentação - Pedido de Venda e Nota Fiscal.

O cliente solicitou que seja feito um ajuste no sistema que permita que somente determinados níveis de usuário possam realizar alterações no campo PRAZO DE PAGAMENTO, tanto na tela de entidades, como nas telas de movimentações.

!entidades.png!
!nota.png!",9150,26/1/2021,Fechada,Suporte Técnico,Ana,Ajuste de Permissão Tela de Nota fiscal e Pedido- campo Prazo de pagamento,COPAVES - FRANGOS CANCAO
1933,"A cliente solicita um relatório que apresente o icms cadastrado no item, para gerenciar/prestar contas a diretoria.
A cliente comentou que todos os produtos comercializados por eles estão vindo com a tributação do ICMS e ela precisa conferir se as alíquotas estão corretas ou não.

!CadProd.png!

OBS: Perguntei a cliente se a apresentação dessa informação no relatório de tela de Produtos já revolveria, estou no aguardo do retorno.
",9151,26/1/2021,Fechada,Suporte Técnico,Elaine,Produtos com ICMS 4%,X MED COMERCIO DE MATERIAL MEDICO HOSPITALAR
1934,"Estou com os caixas desde o dia 04/11 em aberto, poderia me auxiliar a realizar o fechamento",8369,17/11/2020,Fechada,Suporte Técnico,Ana,Auxilio Fechamento de caixa,LANCASTER PARTICIPAÇÕES E EMPREENDIMENTOS TURISTICOS LTDA
1935,"Tenho uma nota fiscal com resposta pendente, poderia verificar",8368,17/11/2020,Fechada,Suporte Técnico,Ana,Nota fiscal não enviada,GDS - GESSO E DECORACOES
1936,"<pre>
Hoje de manhã foi atualizado o sistema com as customizações que foram solicitadas, ainda não tive tempo de fazer as conferencias mas já tivemos problemas na alteração que foi feito da coluna do realizado da tela de fluxo de caixa, conforme tela abaixo: De alguma forma esta somando e todos os projetos estão negativos.

Reforçando o cálculo para fazer o saldo disponível: Tentei escrever da forma mais simples possível.

Previsto: Soma de todas as previsões
Realizado: Soma de todos os pagamentos efetuados
Orçado: Orçamento operacional liberado
Saldo Disponível: Orçamento operacional (-) realizado (-) Previsto = Saldo disponível*

Considerações para cálculo do saldo disponível:
No realizado o sistema considera o saldo do mês anterior, exemplo: até 30/09/2020.

No previsto o sistema considera o total previsto a partir do mês subsequente, exemplo: a partir de 01/11/2020. O passado o sistema ignora.

Para fazer a conta do mês corrente: O sistema pega o total do previsto (-) o realizado do mês corrente, onde o sistema é atualizado de forma diária. Se o valor total previsto for maior que valor total realizado, o sistema vai considerar o total previsto. Se o realizado for maior que o previsto o sistema vai considerar o total realizado. Ou então fazer a diferença e sempre considerar o valor maior. Isso para o mês corrente.
 

O realizado da coluna que foi incluída não é para somar novamente.
</pre>

Base disponível em: https://drive.google.com/drive/folders/11eZQ_Mz3p_X6RVMVNoXuQDDOpeiUy55k?usp=sharing

*Cadastro - centro de custo - seleciona um centro de custo - clica em Orçamento.*

Qualquer centro de custo que gerarmos o relatório, esta apresentando um valor incorreto e negativo no total do saldo disponível.
!cia.png!
",8340,16/11/2020,Fechada,Suporte Técnico,Ana,Erro na coluna do realizado da tela de fluxo de caixa,COMPANHIA AMBIENTAL
1937,"Não está conseguindo enviar a nota, apresenta erro de data e hora",9499,22/2/2021,Fechada,Suporte Técnico,Ana,Rejeição de NFC,BIOCRYSTAL
1938,"Cliente estava com uma nota do dia 28/12 que havia sido enviada, mas por erro na maquina a base voltou e quando ela tentou enviar e apresentou erro de duplicidade com diferença na chave 
",9152,26/1/2021,Fechada,Suporte Técnico,Ana,Rejeição de NFE,YPEGAS
1939,"O sistema está apresentando mensagem de erro ao imprimir uma ordem de serviço

Menu - Movimento - Ordens de Serviço - Ordem de Serviço
Filtro 22/02/2021 a 22/02/2021
Mov. nº 27818
Em modo lista, clico no botão de Relatórios

O sistema apresenta a seguinte mensagem de erro:
arithmetic excepition, numeric overflow, or string truncation.

!Erro.png!

Base disponível em: https://drive.google.com/file/d/1RRgKz-R89vAMRVjWcho6sRLB5kxT13K7/view?usp=sharing",9506,22/2/2021,Fechada,Suporte Técnico,Elaine,Mensagem de erro ao imprimir O.S,RG LOCAÇÃO DE EMPILHADEIRAS LTDA
1940,Cliente não conseguia acessar o sistema,9507,22/2/2021,Fechada,Suporte Técnico,Elaine,Cliente não consegue logar no sistema,METAL BRASIL
1941,"A Karina da Metal Brasil deseja um treinamento de toda parte de Movimentações, assim como seus respectivos relatórios.
Segundo a cliente eles nunca tiveram um treinamento do sistema e isso está fazendo falta agora com o aumento da demanda.
",9149,26/1/2021,Fechada,Suporte Técnico,Elaine,Treinamento Sistema,METAL BRASIL
